page,file,overall,ease_use,friendliness,understanding,navigation,direction,info_value,words,actions,flags,jargon,dead_links,missing_files,extends,review
index.html,onboarding/index.html,3.5,5,5,3,3,3,2,5,0,,,0,,False,yes
office_delivery.html,pages/office_delivery.html,3.7,3,5,5,5,2,2,298,12,placeholder: coming soon,,0,,True,yes
admin_contract_browser.html,pages/admin_contract_browser.html,3.8,5,3,4,5,4,2,50,5,placeholder: coming soon,json,0,,True,yes
donate.html,public/donate.html,3.8,5,2,5,5,2,4,2120,16,cost-framing: never pay,"backend, frontend, repo",0,,False,no
activate-vault.html,onboarding/activate-vault.html,3.8,5,5,3,3,5,2,22,1,,,0,,False,no
role-select.html,onboarding/role-select.html,3.8,5,4,5,4,3,2,82,0,placeholder: coming soon,,0,,False,no
action_plan.html,pages/action_plan.html,4.0,3,4,5,5,2,5,229,14,,repo,0,,True,yes
admin_page_shell_demo.html,pages/admin_page_shell_demo.html,4.0,5,5,3,4,5,2,18,3,,,0,,True,yes
admin_script_catalog.html,pages/admin_script_catalog.html,4.0,5,3,5,5,2,4,64,17,,repo,0,,True,yes
advocate_dashboard.html,pages/advocate_dashboard.html,4.0,3,4,5,3,4,5,292,6,,,3,,True,yes
command_center.html,pages/command_center.html,4.0,5,5,5,4,3,2,24,0,,,0,,True,yes
complaints.html,pages/complaints.html,4.0,5,3,5,5,2,4,231,9,cost-framing: no cost,repo,0,,True,yes
document_delivery_inbox.html,pages/document_delivery_inbox.html,4.0,5,5,5,4,3,2,16,0,,,0,,True,yes
focus.html,pages/focus.html,4.0,5,5,5,4,3,2,37,0,,,0,,True,yes
hearing_prep.html,pages/hearing_prep.html,4.0,3,5,5,4,3,4,49,0,,,0,,True,yes
journey.html,pages/journey.html,4.0,5,5,5,4,3,2,15,0,,,0,,True,yes
manager_dashboard.html,pages/manager_dashboard.html,4.0,5,3,5,5,2,4,117,11,,repo,0,,True,yes
mndes_compliance_guide.html,pages/mndes_compliance_guide.html,4.0,5,4,5,5,2,3,2394,14,,affidavit,0,,True,yes
about.html,public/about.html,4.0,5,3,5,5,2,4,1609,29,cost-framing: no subscription,repo,0,,True,yes
credits.html,public/credits.html,4.0,5,3,5,5,2,4,741,34,cost-framing: free of charge,repo,0,,True,yes
admin_function_browser.html,pages/admin_function_browser.html,4.2,5,4,5,5,2,4,97,12,,,0,,True,yes
admin_page_editor.html,pages/admin_page_editor.html,4.2,5,4,4,4,4,4,80,6,,,0,,True,yes
admin_review_checklist.html,pages/admin_review_checklist.html,4.2,5,3,5,4,4,4,77,7,,ssot,0,,True,yes
auto_mode_panel.html,pages/auto_mode_panel.html,4.2,3,4,5,4,5,4,78,2,,,0,,True,yes
calendar.html,pages/calendar.html,4.2,5,5,4,5,2,4,99,9,,,0,,True,yes
document_converter.html,pages/document_converter.html,4.2,4,5,5,4,5,2,31,1,,,1,,True,yes
document_delivery_send.html,pages/document_delivery_send.html,4.2,5,4,5,4,5,2,28,1,,repo,0,,True,yes
documents.html,pages/documents.html,4.2,5,5,3,5,5,2,10,1,,,0,,True,yes
hud_funding.html,pages/hud_funding.html,4.2,3,5,5,3,4,5,184,5,,,7,,True,yes
intake.html,pages/intake.html,4.2,3,4,5,4,5,4,73,2,,,0,,True,yes
law_linker_popout.html,pages/law_linker_popout.html,4.2,5,5,3,5,5,2,39,4,,,0,,True,yes
letter_builder.html,pages/letter_builder.html,4.2,4,5,5,4,5,2,37,1,,,1,,True,yes
office_inbox.html,pages/office_inbox.html,4.2,3,5,5,3,4,5,165,6,,,4,,True,yes
pdf_tools.html,pages/pdf_tools.html,4.2,4,5,5,4,5,2,33,1,,,1,,True,yes
tenant_inbox.html,pages/tenant_inbox.html,4.2,5,4,5,5,2,4,41,10,,,0,,True,yes
timeline.html,pages/timeline.html,4.2,3,5,4,5,4,4,93,8,,,0,,True,yes
welcome.html,pages/welcome.html,4.2,5,4,5,5,2,4,143,14,,ssot,0,,True,yes
contact.html,public/contact.html,4.2,5,3,5,5,2,5,169,9,,"subpoena, repo",0,,True,yes
help.html,tenant/help.html,4.2,5,4,5,5,2,4,1689,65,cost-framing: no cost,,0,,False,no
admin.html,pages/admin.html,4.3,5,5,5,5,2,4,43,11,,,0,,True,yes
admin_dashboard.html,pages/admin_dashboard.html,4.3,5,4,5,5,2,5,350,64,,orchestrator,0,,True,yes
admin_home.html,pages/admin_home.html,4.3,5,4,5,5,5,2,39,2,,,0,,True,yes
admin_hub.html,pages/admin_hub.html,4.3,5,5,5,4,5,2,26,1,,,0,,True,yes
advocate.html,pages/advocate.html,4.3,5,5,5,5,2,4,74,12,,,0,,True,yes
briefcase.html,pages/briefcase.html,4.3,5,5,5,4,5,2,30,3,,,0,,True,yes
campaign.html,pages/campaign.html,4.3,5,5,5,4,5,2,22,1,,,0,,True,yes
case_builder.html,pages/case_builder.html,4.3,5,5,5,5,2,4,127,11,,,0,,True,yes
contacts.html,pages/contacts.html,4.3,5,5,5,4,5,2,34,2,,,0,,True,yes
court_packet.html,pages/court_packet.html,4.3,3,5,5,4,5,4,51,1,,,0,,True,yes
document_calendar.html,pages/document_calendar.html,4.3,5,5,5,4,5,2,39,2,,,0,,True,yes
document_center.html,pages/document_center.html,4.3,5,5,4,5,2,5,270,25,,,0,,True,yes
document_rejection.html,pages/document_rejection.html,4.3,5,5,5,4,5,2,38,2,,,0,,True,yes
document_viewer.html,pages/document_viewer.html,4.3,5,5,5,4,5,2,28,3,,,0,,True,yes
eviction_answer.html,pages/eviction_answer.html,4.3,3,5,5,4,5,4,47,1,,,0,,True,yes
law_library_get_statute.html,pages/law_library_get_statute.html,4.3,5,5,4,5,3,4,78,0,,,0,,True,yes
legal.html,pages/legal.html,4.3,5,5,5,5,2,4,58,11,,,0,,True,yes
legal_dashboard.html,pages/legal_dashboard.html,4.3,5,4,5,5,2,5,299,12,,,0,,True,yes
office_signer.html,pages/office_signer.html,4.3,5,4,5,5,2,5,293,12,,,0,,True,yes
research.html,pages/research.html,4.3,5,5,5,4,3,4,67,0,,,0,,True,yes
research_module.html,pages/research_module.html,4.3,5,5,5,4,5,2,30,1,,,0,,True,yes
roles.html,pages/roles.html,4.3,5,5,5,4,5,2,14,1,,,0,,True,yes
setup_wizard.html,pages/setup_wizard.html,4.3,3,5,5,5,4,4,93,5,,,0,,True,yes
sticky_notes.html,pages/sticky_notes.html,4.3,5,5,3,4,5,4,45,3,,,0,,True,yes
tenant_journal.html,pages/tenant_journal.html,4.3,5,5,5,5,2,4,67,11,,,0,,True,yes
tenant_tools_letters.html,pages/tenant_tools_letters.html,4.3,5,4,5,5,2,5,534,34,,repo,0,,True,yes
vault.html,pages/vault.html,4.3,5,5,5,4,5,2,36,1,,,0,,True,yes
pick-role.html,onboarding/pick-role.html,4.3,5,4,5,5,3,4,59,0,,,0,,False,no
providers-reconnect.html,onboarding/providers-reconnect.html,4.3,5,5,5,4,3,4,58,0,,,0,,False,no
providers.html,onboarding/providers.html,4.3,5,5,5,4,3,4,59,0,,,0,,False,no
viewer.html,overlays/viewer.html,4.3,4,5,5,4,4,4,58,8,,,0,,False,no
admin_agent_orchestrator.html,pages/admin_agent_orchestrator.html,4.5,5,3,5,5,4,5,217,6,,"json, orchestrator, repo",0,,True,yes
admin_api_workbook.html,pages/admin_api_workbook.html,4.5,5,4,5,4,5,4,67,3,,json,0,,True,yes
admin_module_flags.html,pages/admin_module_flags.html,4.5,5,4,5,5,4,4,147,5,,,0,,True,yes
admin_system_health.html,pages/admin_system_health.html,4.5,5,5,5,5,5,2,39,2,,,0,,True,yes
admin_tile_stub.html,pages/admin_tile_stub.html,4.5,5,5,5,5,5,2,38,1,,,0,,True,yes
admin_under_construction.html,pages/admin_under_construction.html,4.5,5,5,5,5,5,2,41,2,placeholder: under construction,,0,,True,yes
comms_log.html,pages/comms_log.html,4.5,5,5,4,5,4,4,114,6,,,0,,True,yes
crisis_intake.html,pages/crisis_intake.html,4.5,5,5,5,5,2,5,189,24,,,0,,True,yes
fraud_exposure.html,pages/fraud_exposure.html,4.5,3,5,5,5,5,4,104,1,,,0,,True,yes
funding_search.html,pages/funding_search.html,4.5,5,4,5,4,5,4,84,1,,,0,,True,yes
law_library_get_case.html,pages/law_library_get_case.html,4.5,5,5,4,5,4,4,121,0,,,0,,True,yes
legal_trails.html,pages/legal_trails.html,4.5,4,5,5,4,5,4,61,3,,,0,,True,yes
module_page.html,pages/module_page.html,4.5,5,5,5,5,5,2,11,2,,,0,,True,yes
office_vault.html,pages/office_vault.html,4.5,5,5,5,5,2,5,268,30,,,0,,True,yes
role_selection.html,pages/role_selection.html,4.5,5,5,5,4,4,4,92,5,,,0,,True,yes
settings.html,pages/settings.html,4.5,5,4,5,4,5,4,83,4,,,0,,True,yes
storage_reconnect_prompt.html,pages/storage_reconnect_prompt.html,4.5,3,5,5,5,5,4,48,2,,,0,,True,yes
tenant_help.html,pages/tenant_help.html,4.5,5,5,5,5,2,5,681,28,,,0,,True,yes
tenant_home_next.html,pages/tenant_home_next.html,4.5,5,5,5,5,2,5,270,9,,,0,,True,yes
tenant_resources.html,pages/tenant_resources.html,4.5,5,5,3,5,5,4,102,2,,,0,,True,yes
tenant_retaliation.html,pages/tenant_retaliation.html,4.5,3,5,5,5,4,5,182,5,,,0,,True,yes
timeline_create_event.html,pages/timeline_create_event.html,4.5,5,4,4,5,5,4,88,1,,,0,,True,yes
tools.html,pages/tools.html,4.5,5,5,5,5,3,4,95,0,,,0,,True,yes
semptify-help-standalone.html,public/semptify-help-standalone.html,4.5,5,5,5,5,2,5,413,10,,,0,,False,no
welcome.html,public/welcome.html,4.5,5,4,5,4,4,5,211,5,,ssot,0,,False,no
semptify-help-standalone.html,911/semptify-help-standalone.html,4.5,5,5,5,5,2,5,413,10,,,0,,False,no
admin_manual.html,pages/admin_manual.html,4.7,5,3,5,5,5,5,1007,4,,"ssot, middleware, api endpoint, repo",0,,True,yes
advocate_client_detail.html,pages/advocate_client_detail.html,4.7,5,5,5,5,4,4,54,8,,,0,,True,yes
auto_analysis_summary.html,pages/auto_analysis_summary.html,4.7,5,5,5,5,4,4,61,7,,,0,,True,yes
complete_journey.html,pages/complete_journey.html,4.7,5,5,5,5,4,4,140,0,,,0,,True,yes
court_learning.html,pages/court_learning.html,4.7,5,5,5,5,4,4,100,0,,,0,,True,yes
dakota_defense.html,pages/dakota_defense.html,4.7,5,5,5,4,5,4,47,1,,,0,,True,yes
document_intake.html,pages/document_intake.html,4.7,5,5,5,4,5,4,49,1,,,0,,True,yes
document_signature.html,pages/document_signature.html,4.7,5,5,5,4,5,4,50,2,,,0,,True,yes
fca_readiness.html,pages/fca_readiness.html,4.7,5,5,5,4,5,4,82,4,,,0,,True,yes
interactive_timeline.html,pages/interactive_timeline.html,4.7,5,5,5,4,5,4,43,3,,,0,,True,yes
journal_create_guide.html,pages/journal_create_guide.html,4.7,5,5,4,5,5,4,76,1,,,0,,True,yes
library.html,pages/library.html,4.7,5,5,5,5,4,4,101,0,,,0,,True,yes
mndes_guide.html,pages/mndes_guide.html,4.7,5,4,5,5,4,5,575,0,,affidavit,0,,True,yes
office.html,pages/office.html,4.7,5,5,5,5,4,4,125,8,,,0,,True,yes
recognition.html,pages/recognition.html,4.7,5,5,5,4,5,4,43,1,,,0,,True,yes
storage_info.html,pages/storage_info.html,4.7,5,5,5,5,4,4,113,5,,,0,,True,yes
storage_setup.html,pages/storage_setup.html,4.7,5,5,5,4,5,4,53,3,,,0,,True,yes
tenant_get_help.html,pages/tenant_get_help.html,4.7,5,5,3,5,5,5,218,3,,,0,,True,yes
tenant_home.html,pages/tenant_home.html,4.7,5,4,5,5,4,5,241,6,,repo,0,,True,yes
timeline_builder.html,pages/timeline_builder.html,4.7,5,5,5,4,5,4,46,2,,,0,,True,yes
